bin_num,bin_typ,bin_sec,bin_asl
PP.23.100.04,PA01,A,23
PP.23.100.05,PA01,A,23
PP.28.008.03,PA01,D,28
PP.28.010.06,PA01,D,28
PP.28.012.04,PA01,D,28
PK.06.116.02,PO02,C,06
PP.28.014.07,PA01,D,28
PP.28.016.04,PA01,D,28
PP.11.006.04,PA01,A,11
PP.23.074.03,PA01,A,23
PP.23.076.05,PA01,A,23
PP.23.076.06,PA01,A,23
PR.13.076.2.02,SA01,A,13
PR.28.044.1.01,SA01,D,28
PR.28.044.1.02,SA01,D,28
PR.28.044.1.03,SA01,D,28
PR.28.044.1.04,SA01,D,28
PR.28.044.1.05,SA01,D,28
PR.28.044.1.06,SA01,D,28
PR.28.044.1.07,SA01,D,28
PR.28.083.1.09,SA01,D,28
PR.28.083.1.10,SA01,D,28
PR.28.083.1.11,SA01,D,28
PR.17.060.2.04,SA01,A,17
PR.06.102.1.02,SA01,C,06
PR.06.102.1.03,SA01,C,06
PR.28.083.1.12,SA01,D,28
PR.28.083.1.13,SA01,D,28
PP.30.073.08,PA01,D,30
PR.28.083.1.15,SA01,D,28
PR.28.083.2.02,SA01,D,28
PR.28.083.2.01,SA01,D,28
PP.04.032.07,PA01,C,04
PP.22.005.03,PA01,A,22
PP.22.005.04,PA01,A,22
PP.22.005.05,PA01,A,22
PP.31.047.06,PM04,0001,31
PR.05.085.1.05,SA01,C,05
PR.11.036.2.05,SA01,C,11
PR.11.043.2.03,SA01,A,11
PR.11.059.2.03,SA01,A,11
PR.26.069.2.03,SA01,B,26
PR.26.070.2.01,SA01,B,26
PR.26.070.2.02,SA01,B,26
PR.26.070.2.03,SA01,B,26
PR.26.070.2.04,SA01,B,26
PR.26.071.2.01,SA01,B,26
PR.26.071.2.02,SA01,B,26
PK.01.077.01,PA02,D,01
PP.23.103.03,PA01,A,23
PP.28.112.06,PA01,D,28
PP.28.091.09,PA01,D,28
PP.19.027.07,PA01,A,19
PP.29.117.06,PA01,D,29
PP.23.103.04,PA01,A,23
PK.04.089.01,PO02,C,04
PK.08.005.01,PO02,A,08
PP.21.024.03,PA01,A,21
PP.23.089.07,PA01,A,23
PP.23.091.03,PA01,A,23
PP.23.062.04,PA01,A,23
PP.30.006.03,PA01,D,30
PP.30.006.04,PA01,D,30
PP.30.006.05,PA01,D,30
PP.30.006.06,PA01,D,30
PP.28.121.09,PA01,D,28
PP.30.006.08,PA01,D,30
PP.30.006.07,PA01,D,30
PP.30.006.09,PA01,D,30
PR.11.011.1.05,SA01,C,11
PR.23.013.2.01,SA01,B,23
PP.04.061.07,PA01,C,04
PR.23.013.2.02,SA01,B,23
PR.23.013.2.03,SA01,B,23
PR.23.013.2.04,SA01,B,23
PR.23.014.2.01,SA01,B,23
PP.09.056.06,PA01,A,09
PP.15.018.05,PA01,A,15
PP.15.018.06,PA01,A,15
PP.15.022.04,PA01,A,15
PP.15.028.05,PA01,A,15
PP.15.028.06,PA01,A,15
PP.28.022.2.11,SA01,D,28
PP.28.022.2.12,SA01,D,28
PP.28.022.2.13,SA01,D,28
PP.28.022.2.14,SA01,D,28
PP.28.022.2.15,SA01,D,28
PP.01.072.07,PA02,D,01
PP.28.023.2.01,SA01,D,28
PP.31.092.2.05,PM04,0001,31
PR.06.067.1.04,SA01,C,06
PK.21.036.02,PO02,B,21
PR.07.025.1.08,SA01,C,07
PR.15.065.2.03,SA01,A,15
PR.15.071.2.01,SA01,A,15
